"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 05 15:01:53 CDT 2020","Tue May 05 15:01:54 CDT 2020","910","","Tasks API ENDPOINTS Tests","","Tasks API ENDPOINTS Tests","Reopen The New Task","Reopen The New Task",""
"passed","Tue May 05 15:01:51 CDT 2020","Tue May 05 15:01:51 CDT 2020","318","","Projects API ENDPOINTS Tests","","Projects API ENDPOINTS Tests","Token Not Sent","Token Not Sent",""
"passed","Tue May 05 15:01:50 CDT 2020","Tue May 05 15:01:51 CDT 2020","294","","Projects API ENDPOINTS Tests","","Projects API ENDPOINTS Tests","Authotization Header Not Sent","Authotization Header Not Sent",""
"passed","Tue May 05 15:01:53 CDT 2020","Tue May 05 15:01:53 CDT 2020","502","","Tasks API ENDPOINTS Tests","","Tasks API ENDPOINTS Tests","Close The New Task","Close The New Task",""
"passed","Tue May 05 15:01:52 CDT 2020","Tue May 05 15:01:52 CDT 2020","227","","Tasks API ENDPOINTS Tests","","Tasks API ENDPOINTS Tests","Get All Tasks","Get All Tasks",""
"passed","Tue May 05 15:01:51 CDT 2020","Tue May 05 15:01:51 CDT 2020","3","","Projects API ENDPOINTS Tests","","Projects API ENDPOINTS Tests","Create a New Project","Create a New Project",""
"passed","Tue May 05 15:01:54 CDT 2020","Tue May 05 15:01:55 CDT 2020","916","","Tasks API ENDPOINTS Tests","","Tasks API ENDPOINTS Tests","Delete The New Task","Delete The New Task",""
"passed","Tue May 05 15:01:52 CDT 2020","Tue May 05 15:01:52 CDT 2020","296","","Tasks API ENDPOINTS Tests","","Tasks API ENDPOINTS Tests","Get The New Task","Get The New Task",""
"passed","Tue May 05 15:01:52 CDT 2020","Tue May 05 15:01:52 CDT 2020","2","","Projects API ENDPOINTS Tests","","Projects API ENDPOINTS Tests","Delete The New Project","Delete The New Project",""
"passed","Tue May 05 15:01:50 CDT 2020","Tue May 05 15:01:50 CDT 2020","340","","Projects API ENDPOINTS Tests","","Projects API ENDPOINTS Tests","Get ALL Projects","Get ALL Projects",""
"passed","Tue May 05 15:01:52 CDT 2020","Tue May 05 15:01:52 CDT 2020","2","","Tasks API ENDPOINTS Tests","","Tasks API ENDPOINTS Tests","Create a New Task","Create a New Task",""
"passed","Tue May 05 15:01:51 CDT 2020","Tue May 05 15:01:51 CDT 2020","1","","Projects API ENDPOINTS Tests","","Projects API ENDPOINTS Tests","Get The New Project","Get The New Project",""
"passed","Tue May 05 15:01:51 CDT 2020","Tue May 05 15:01:52 CDT 2020","510","","Projects API ENDPOINTS Tests","","Projects API ENDPOINTS Tests","Update The New Project","Update The New Project",""
"passed","Tue May 05 15:01:51 CDT 2020","Tue May 05 15:01:51 CDT 2020","260","","Projects API ENDPOINTS Tests","","Projects API ENDPOINTS Tests","Service Not Found","Service Not Found",""
"passed","Tue May 05 15:01:52 CDT 2020","Tue May 05 15:01:53 CDT 2020","443","","Tasks API ENDPOINTS Tests","","Tasks API ENDPOINTS Tests","Update The New Task","Update The New Task",""
